county,deer_sex,ratio,sd,harv,sd_harv,DoeLimit,BuckLimit,APR,Area
Madison,Button Buck,0.057859268,0.004121319,10.5,0.707106781,1,2,1,834
Madison,Doe,0.316981361,0.090840747,57.5,16.26345597,1,2,1,834
Marion,Antlered,0.632720198,0.030865574,566,87.68124087,1,2,1,597
Marion,Button Buck,0.061810855,0.000745019,55.5,10.60660172,1,2,1,597
Marion,Doe,0.305468947,0.031610592,277.5,84.14570696,1,2,1,597
Newton,Antlered,0.638142192,0.00882519,707.5,19.09188309,1,2,1,821
Newton,Button Buck,0.064743091,0.008834972,72,12.72792206,1,2,1,821
Newton,Doe,0.297114717,9.78E-06,329.5,13.43502884,1,2,1,821
Pope,Antlered,0.551260504,0.052290249,14,5.656854249,1,2,1,812
Pope,Button Buck,0.072268908,0.019014636,2,1.414213562,1,2,1,812
Pope,Doe,0.376470588,0.033275613,10,5.656854249,1,2,1,812
Searcy,Antlered,0.648832014,0.000608377,570,2.828427125,1,2,1,669
Searcy,Button Buck,0.066573503,0.008586001,58.5,7.778174593,1,2,1,669
Searcy,Doe,0.284594483,0.009194378,250,7.071067812,1,2,1,669
Stone,Antlered,0.675583436,0.071097129,242.5,13.43502884,1,2,1,609
Stone,Button Buck,0.08204819,0.01029807,30,8.485281374,1,2,1,609
Stone,Doe,0.242368374,0.060799059,89.5,36.06244584,1,2,1,609
Van Buren,Antlered,0.540305011,0.109378173,23,2.828427125,1,2,1,708
Van Buren,Button Buck,0.062636166,0.036202635,2.5,0.707106781,1,2,1,708
Van Buren,Doe,0.397058824,0.145580808,18.5,12.02081528,1,2,1,708
Baxter,Antlered,0.584144467,0.008512812,54.5,24.74873734,0,2,1,554
Baxter,Button Buck,0,0,0,0,0,2,1,554
Baxter,Doe,0,0,0,0,0,2,1,554
Boone,Antlered,0.642980655,0.039260977,812.5,62.93250353,0,2,1,590
Boone,Button Buck,0,0,0,0,0,2,1,590
Boone,Doe,0,0,0,0,0,2,1,590
Carroll,Antlered,0.687460743,0.022814194,475,7.071067812,0,2,1,630
Carroll,Button Buck,0,0,0,0,0,2,1,630
Carroll,Doe,0,0,0,0,0,2,1,630
Madison,Antlered,0.625159371,0.094962067,113.5,17.67766953,0,2,1,834
Madison,Button Buck,0,0,0,0,0,2,1,834
Madison,Doe,0,0,0,0,0,2,1,834
Marion,Antlered,0.632720198,0.030865574,566,87.68124087,0,2,1,597
Marion,Button Buck,0,0,0,0,0,2,1,597
Marion,Doe,0,0,0,0,0,2,1,597
Newton,Antlered,0.638142192,0.00882519,707.5,19.09188309,0,2,1,821
Newton,Button Buck,0,0,0,0,0,2,1,821
Newton,Doe,0,0,0,0,0,2,1,821
